t;x;y;
0,000;-1,037E-2;0,298
0,042;-7,484E-3;0,297
0,083;-6,763E-3;0,297
0,125;8,065E-4;0,295
0,167;7,295E-3;0,294
0,208;1,739E-2;0,292
0,250;3,217E-2;0,286
0,292;4,478E-2;0,285
0,333;6,317E-2;0,280
0,375;8,444E-2;0,275
0,417;0,107;0,269
0,458;0,133;0,263
0,500;0,163;0,255
0,542;0,194;0,246
0,583;0,229;0,236
0,625;0,267;0,225
0,667;0,309;0,214
0,708;0,355;0,200
0,750;0,398;0,189
0,792;0,449;0,176
0,833;0,499;0,168
0,875;0,554;0,168
0,917;0,605;0,176
0,958;0,652;0,188
1,000;0,695;0,200
1,042;0,738;0,211
1,083;0,777;0,216
1,125;0,817;0,217
1,167;0,856;0,216
1,208;0,894;0,209
1,250;0,937;0,202
1,292;0,978;0,186
1,333;1,023;0,164
1,375;1,075;0,139
1,417;1,130;0,122
1,458;1,189;0,122
1,500;1,246;0,134
1,542;1,297;0,149
1,583;1,345;0,164
