t;x;y;
0,000;-0,590;-0,130
0,042;-0,582;-0,132
0,083;-0,570;-0,136
0,125;-0,559;-0,139
0,167;-0,542;-0,142
0,208;-0,522;-0,147
0,250;-0,502;-0,152
0,292;-0,479;-0,157
0,333;-0,452;-0,162
0,375;-0,424;-0,172
0,417;-0,393;-0,182
0,458;-0,355;-0,191
0,500;-0,318;-0,202
0,542;-0,277;-0,215
0,583;-0,233;-0,225
0,625;-0,185;-0,236
0,667;-0,137;-0,247
0,708;−8,544E−2;-0,254
0,750;−3,490E−2;-0,253
0,792;1,645E−2;-0,244
0,833;6,138E−2;-0,233
0,875;0,106;-0,220
0,917;0,146;-0,211
0,958;0,184;-0,207
1,000;0,222;-0,205
1,042;0,260;-0,209
1,083;0,299;-0,213
1,125;0,341;-0,225
1,167;0,384;-0,241
1,208;0,430;-0,265
1,250;0,479;-0,289
1,292;0,538;-0,298
1,333;0,598;-0,298
1,375;0,652;-0,287
1,417;0,700;-0,271
