t;x;y;
0.000;7.571E-3;0.285
0.042;1.582E-2;0.283
0.083;2.612E-2;0.281
0.125;3.848E-2;0.279
0.167;5.291E-2;0.275
0.208;6.940E-2;0.271
0.250;9.467E-2;0.263
0.292;0.117;0.259
0.333;0.142;0.252
0.375;0.173;0.243
0.417;0.206;0.234
0.458;0.239;0.226
0.500;0.277;0.216
0.542;0.317;0.207
0.583;0.361;0.193
0.625;0.408;0.180
0.667;0.455;0.172
0.708;0.506;0.164
0.750;0.558;0.163
0.792;0.608;0.173
0.833;0.655;0.183
0.875;0.696;0.198
0.917;0.741;0.209
0.958;0.777;0.213
1.000;0.817;0.213
1.042;0.855;0.212
1.083;0.892;0.207
1.125;0.934;0.200
1.167;0.975;0.184
1.208;1.019;0.162
1.250;1.073;0.137
1.292;1.128;0.123
1.333;1.187;0.122
1.375;1.242;0.133
1.417;1.292;0.146

