t;x;y;
0,000;1,689E-2;0,286
0,042;2,407E-2;0,285
0,083;3,304E-2;0,284
0,125;4,561E-2;0,281
0,167;5,997E-2;0,277
0,208;7,702E-2;0,273
0,250;9,766E-2;0,268
0,292;0,120;0,261
0,333;0,145;0,257
0,375;0,174;0,249
0,417;0,206;0,240
0,458;0,239;0,230
0,500;0,277;0,220
0,542;0,319;0,206
0,583;0,362;0,196
0,625;0,405;0,183
0,667;0,452;0,172
0,708;0,503;0,164
0,750;0,557;0,164
0,792;0,607;0,171
0,833;0,655;0,182
0,875;0,698;0,195
0,917;0,738;0,204
0,958;0,778;0,211
1,000;0,815;0,211
1,042;0,852;0,210
1,083;0,892;0,206
1,125;0,931;0,198
1,167;0,974;0,180
1,208;1,014;0,162
1,250;1,065;0,138
1,292;1,120;0,118
1,333;1,179;0,117
1,375;1,237;0,125
1,417;1,287;0,139
1,458;1,338;0,154

